Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 111      |
|    ep_rew_mean     | -252     |
| time/              |          |
|    fps             | 2434     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 1024     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 102         |
|    ep_rew_mean          | -221        |
| time/                   |             |
|    fps                  | 1320        |
|    iterations           | 2           |
|    time_elapsed         | 1           |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.004442592 |
|    clip_fraction        | 0.022       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | -0.000983   |
|    learning_rate        | 0.0003      |
|    loss                 | 4.91e+03    |
|    n_updates            | 4           |
|    policy_gradient_loss | -0.00539    |
|    std                  | 1           |
|    value_loss           | 9.41e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 106          |
|    ep_rew_mean          | -218         |
| time/                   |              |
|    fps                  | 1232         |
|    iterations           | 3            |
|    time_elapsed         | 2            |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0019350235 |
|    clip_fraction        | 0.00464      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.00925     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.1e+03      |
|    n_updates            | 8            |
|    policy_gradient_loss | -0.00311     |
|    std                  | 0.999        |
|    value_loss           | 6.67e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 108          |
|    ep_rew_mean          | -208         |
| time/                   |              |
|    fps                  | 1171         |
|    iterations           | 4            |
|    time_elapsed         | 3            |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0037693693 |
|    clip_fraction        | 0.0127       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.0323      |
|    learning_rate        | 0.0003       |
|    loss                 | 2.42e+03     |
|    n_updates            | 12           |
|    policy_gradient_loss | -0.00599     |
|    std                  | 0.995        |
|    value_loss           | 5.22e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 134          |
|    ep_rew_mean          | -204         |
