Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 200      |
|    ep_rew_mean     | -1.2e+03 |
| time/              |          |
|    fps             | 2756     |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.21e+03   |
| time/                   |             |
|    fps                  | 973         |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.003498753 |
|    clip_fraction        | 0.032       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | -0.00104    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.29e+03    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00401    |
|    std                  | 0.991       |
|    value_loss           | 8.53e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.24e+03    |
| time/                   |              |
|    fps                  | 850          |
|    iterations           | 3            |
|    time_elapsed         | 7            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0012857806 |
|    clip_fraction        | 0.00103      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.101        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.97e+03     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000705    |
|    std                  | 0.992        |
|    value_loss           | 8.06e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.24e+03    |
| time/                   |              |
|    fps                  | 800          |
|    iterations           | 4            |
|    time_elapsed         | 10           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0016926329 |
|    clip_fraction        | 0.00459      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.0111       |
|    learning_rate        | 0.0003       |
|    loss                 | 3.79e+03     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00135     |
|    std                  | 0.963        |
|    value_loss           | 8.34e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.18e+03    |
| time/                   |              |
|    fps                  | 773          |
|    iterations           | 5            |
|    time_elapsed         | 13           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0035619629 |
|    clip_fraction        | 0.0245       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.00363      |
|    learning_rate        | 0.0003       |
|    loss                 | 3.29e+03     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0025      |
|    std                  | 0.977        |
|    value_loss           | 8.15e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.18e+03   |
| time/                   |             |
|    fps                  | 763         |
|    iterations           | 6           |
|    time_elapsed         | 16          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.002946253 |
|    clip_fraction        | 0.0249      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.00171     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.34e+03    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00166    |
|    std                  | 0.966       |
|    value_loss           | 4.39e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.18e+03   |
| time/                   |             |
|    fps                  | 755         |
|    iterations           | 7           |
|    time_elapsed         | 18          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.003730852 |
|    clip_fraction        | 0.0373      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.000341    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.32e+03    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00283    |
|    std                  | 0.971       |
|    value_loss           | 6.17e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.16e+03    |
| time/                   |              |
|    fps                  | 680          |
|    iterations           | 8            |
|    time_elapsed         | 24           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0035655932 |
|    clip_fraction        | 0.0117       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.000248     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.6e+03      |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.0015      |
|    std                  | 0.973        |
|    value_loss           | 5.6e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.16e+03   |
| time/                   |             |
|    fps                  | 684         |
|    iterations           | 9           |
|    time_elapsed         | 26          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.001532012 |
|    clip_fraction        | 0.00508     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.000197    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.71e+03    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.000586   |
|    std                  | 0.988       |
|    value_loss           | 4.8e+03     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.17e+03    |
| time/                   |              |
|    fps                  | 684          |
|    iterations           | 10           |
|    time_elapsed         | 29           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0049989494 |
|    clip_fraction        | 0.0292       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 9.96e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.87e+03     |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00296     |
|    std                  | 0.973        |
|    value_loss           | 4.5e+03      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.17e+03   |
| time/                   |             |
|    fps                  | 686         |
|    iterations           | 11          |
|    time_elapsed         | 32          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.004004425 |
|    clip_fraction        | 0.0212      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 5.57e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.07e+03    |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00176    |
|    std                  | 0.965       |
|    value_loss           | 7.19e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.15e+03    |
| time/                   |              |
|    fps                  | 686          |
|    iterations           | 12           |
|    time_elapsed         | 35           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0023987414 |
|    clip_fraction        | 0.0132       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 8e-05        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.38e+03     |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.0016      |
|    std                  | 0.943        |
|    value_loss           | 4.78e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.12e+03    |
| time/                   |              |
|    fps                  | 685          |
|    iterations           | 13           |
|    time_elapsed         | 38           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0035056816 |
|    clip_fraction        | 0.0266       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 7.21e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.25e+03     |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00246     |
|    std                  | 0.935        |
|    value_loss           | 3.13e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.11e+03    |
| time/                   |              |
|    fps                  | 686          |
|    iterations           | 14           |
|    time_elapsed         | 41           |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0034721915 |
|    clip_fraction        | 0.0179       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 2.5e-05      |
|    learning_rate        | 0.0003       |
|    loss                 | 1.25e+03     |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00149     |
|    std                  | 0.908        |
|    value_loss           | 3.02e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.11e+03    |
| time/                   |              |
|    fps                  | 689          |
|    iterations           | 15           |
|    time_elapsed         | 44           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0035211206 |
|    clip_fraction        | 0.0362       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 1.54e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 869          |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00188     |
|    std                  | 0.924        |
|    value_loss           | 2.91e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.1e+03     |
| time/                   |              |
|    fps                  | 690          |
|    iterations           | 16           |
|    time_elapsed         | 47           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0037114178 |
|    clip_fraction        | 0.0273       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 8.46e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 844          |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00241     |
|    std                  | 0.913        |
|    value_loss           | 2.62e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.08e+03   |
| time/                   |             |
|    fps                  | 692         |
|    iterations           | 17          |
|    time_elapsed         | 50          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.003770945 |
|    clip_fraction        | 0.0309      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 6.2e-06     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12e+03    |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00201    |
|    std                  | 0.913       |
|    value_loss           | 2.54e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.09e+03    |
| time/                   |              |
|    fps                  | 690          |
|    iterations           | 18           |
|    time_elapsed         | 53           |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0043753358 |
|    clip_fraction        | 0.0257       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.34        |
|    explained_variance   | 4.95e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 727          |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00145     |
|    std                  | 0.923        |
|    value_loss           | 1.97e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.08e+03    |
| time/                   |              |
|    fps                  | 691          |
|    iterations           | 19           |
|    time_elapsed         | 56           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0037091519 |
|    clip_fraction        | 0.0421       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 4.89e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.02e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00183     |
|    std                  | 0.939        |
|    value_loss           | 2.45e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | -1.07e+03   |
| time/                   |             |
|    fps                  | 691         |
|    iterations           | 20          |
|    time_elapsed         | 59          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.002011225 |
|    clip_fraction        | 0.0169      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 4.41e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 870         |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.000816   |
|    std                  | 0.934       |
|    value_loss           | 2.57e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -1.07e+03    |
| time/                   |              |
|    fps                  | 693          |
|    iterations           | 21           |
|    time_elapsed         | 62           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0025315182 |
|    clip_fraction        | 0.0135       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 3.64e-06     |
|    learning_rate        | 0.0003       |
